"Id","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,"RL",65,8450,"1","NoApp","Reg","Lvl","4","Inside","1","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"4","3","PConc","4","3","1","6",706,"1",0,150,856,"GasA","5","1","SBrkr",856,854,0,1710,1,0,2,1,3,1,"4",8,"5",0,"0","Attchd",3,"2",2,548,"3","3","3",0,61,0,0,0,0,"0","NoApp","NoApp",0,2,2008,"WD","Normal",208500
2,"RL",80,9600,"1","NoApp","Reg","Lvl","4","FR2","1","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","3","CBlock","4","3","4","5",978,"1",0,284,1262,"GasA","5","1","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"3",6,"5",1,"3","Attchd",2,"2",2,460,"3","3","3",298,0,0,0,0,0,"0","NoApp","NoApp",0,5,2007,"WD","Normal",181500
3,"RL",68,11250,"1","NoApp","IR1","Lvl","4","Inside","1","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"4","3","PConc","4","3","2","6",486,"1",0,434,920,"GasA","5","1","SBrkr",920,866,0,1786,1,0,2,1,3,1,"4",6,"5",1,"3","Attchd",3,"2",2,608,"3","3","3",0,42,0,0,0,0,"0","NoApp","NoApp",0,9,2008,"WD","Normal",223500
4,"RL",60,9550,"1","NoApp","IR1","Lvl","4","Corner","1","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"3","3","BrkTil","3","4","1","5",216,"1",0,540,756,"GasA","4","1","SBrkr",961,756,0,1717,1,0,1,0,3,1,"4",7,"5",1,"4","Detchd",3,"1",3,642,"3","3","3",0,35,272,0,0,0,"0","NoApp","NoApp",0,2,2006,"WD","Abnorml",140000
5,"RL",84,14260,"1","NoApp","IR1","Lvl","4","FR2","1","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"4","3","PConc","4","3","3","6",655,"1",0,490,1145,"GasA","5","1","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"4",9,"5",1,"3","Attchd",3,"2",3,836,"3","3","3",192,84,0,0,0,0,"0","NoApp","NoApp",0,12,2008,"WD","Normal",250000
6,"RL",85,14115,"1","NoApp","IR1","Lvl","4","Inside","1","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","Wood","4","3","1","6",732,"1",0,64,796,"GasA","5","1","SBrkr",796,566,0,1362,1,0,1,1,1,1,"3",5,"5",0,"0","Attchd",3,"1",2,480,"3","3","3",40,30,0,320,0,0,"0","MnPrv","Shed",700,10,2009,"WD","Normal",143000
7,"RL",75,10084,"1","NoApp","Reg","Lvl","4","Inside","1","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"4","3","PConc","5","3","3","6",1369,"1",0,317,1686,"GasA","5","1","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"4",7,"5",1,"4","Attchd",3,"2",2,636,"3","3","3",255,57,0,0,0,0,"0","NoApp","NoApp",0,8,2007,"WD","Normal",307000
8,"RL",69,10382,"1","NoApp","IR1","Lvl","4","Corner","1","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"3","3","CBlock","4","3","2","5",859,"4",32,216,1107,"GasA","5","1","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"3",7,"5",2,"3","Attchd",2,"2",2,484,"3","3","3",235,204,228,0,0,0,"0","NoApp","Shed",350,11,2009,"WD","Normal",200000
9,"RM",51,6120,"1","NoApp","Reg","Lvl","4","Inside","1","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"3","3","BrkTil","3","3","1","1",0,"1",0,952,952,"GasA","4","1","FuseF",1022,752,0,1774,0,0,2,0,2,2,"3",8,"4",2,"3","Detchd",1,"1",2,468,"2","3","3",90,0,205,0,0,0,"0","NoApp","NoApp",0,4,2008,"WD","Abnorml",129900
10,"RL",50,7420,"1","NoApp","Reg","Lvl","4","Corner","1","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","3","BrkTil","3","3","1","6",851,"1",0,140,991,"GasA","5","1","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"3",5,"5",2,"3","Attchd",1,"2",1,205,"4","3","3",0,4,0,0,0,0,"0","NoApp","NoApp",0,1,2008,"WD","Normal",118000
11,"RL",70,11200,"1","NoApp","Reg","Lvl","4","Inside","1","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"3","3","CBlock","3","3","1","3",906,"1",0,134,1040,"GasA","5","1","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"3",5,"5",0,"0","Detchd",2,"1",1,384,"3","3","3",0,0,0,0,0,0,"0","NoApp","NoApp",0,2,2008,"WD","Normal",129500
12,"RL",85,11924,"1","NoApp","IR1","Lvl","4","Inside","1","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"5","3","PConc","5","3","1","6",998,"1",0,177,1175,"GasA","5","1","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"5",11,"5",2,"4","BuiltIn",3,"3",3,736,"3","3","3",147,21,0,0,0,0,"0","NoApp","NoApp",0,7,2006,"New","Partial",345000
13,"RL",69,12968,"1","NoApp","IR2","Lvl","4","Inside","1","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"3","3","CBlock","3","3","1","5",737,"1",0,175,912,"GasA","3","1","SBrkr",912,0,0,912,1,0,1,0,2,1,"3",4,"5",0,"0","Detchd",2,"1",1,352,"3","3","3",140,0,0,0,176,0,"0","NoApp","NoApp",0,9,2008,"WD","Normal",144000
14,"RL",91,10652,"1","NoApp","IR1","Lvl","4","Inside","1","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"4","3","PConc","4","3","3","1",0,"1",0,1494,1494,"GasA","5","1","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"4",7,"5",1,"4","Attchd",3,"2",3,840,"3","3","3",160,33,0,0,0,0,"0","NoApp","NoApp",0,8,2007,"New","Partial",279500
15,"RL",69,10920,"1","NoApp","IR1","Lvl","4","Corner","1","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"3","3","CBlock","3","3","1","4",733,"1",0,520,1253,"GasA","3","1","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"3",5,"5",1,"2","Attchd",2,"2",1,352,"3","3","3",0,213,176,0,0,0,"0","GdWo","NoApp",0,5,2008,"WD","Normal",157000
16,"RM",51,6120,"1","NoApp","Reg","Lvl","4","Corner","1","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","BrkTil","3","3","1","1",0,"1",0,832,832,"GasA","5","1","FuseA",854,0,0,854,0,0,1,0,2,1,"3",5,"5",0,"0","Detchd",3,"1",2,576,"3","3","3",48,112,0,0,0,0,"0","GdPrv","NoApp",0,7,2007,"WD","Normal",132000
17,"RL",69,11241,"1","NoApp","IR1","Lvl","4","CulDSac","1","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"3","3","CBlock","3","3","1","5",578,"1",0,426,1004,"GasA","5","1","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"3",5,"5",1,"3","Attchd",2,"3",2,480,"3","3","3",0,0,0,0,0,0,"0","NoApp","Shed",700,3,2010,"WD","Normal",149000
18,"RL",72,10791,"1","NoApp","Reg","Lvl","4","Inside","1","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","3","Slab","0","0","0","0",0,"0",0,0,0,"GasA","3","1","SBrkr",1296,0,0,1296,0,0,2,0,2,2,"3",6,"5",0,"0","CarPort",2,"1",2,516,"3","3","3",0,0,0,0,0,0,"0","NoApp","Shed",500,10,2006,"WD","Normal",90000
19,"RL",66,13695,"1","NoApp","Reg","Lvl","4","Inside","1","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","3","PConc","3","3","1","6",646,"1",0,468,1114,"GasA","5","1","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"4",6,"5",0,"0","Detchd",3,"1",2,576,"3","3","3",0,102,0,0,0,0,"0","NoApp","NoApp",0,6,2008,"WD","Normal",159000
20,"RL",70,7560,"1","NoApp","Reg","Lvl","4","Inside","1","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"3","3","CBlock","3","3","1","2",504,"1",0,525,1029,"GasA","3","1","SBrkr",1339,0,0,1339,0,0,1,0,3,1,"3",6,"4",0,"0","Attchd",2,"1",1,294,"3","3","3",0,0,0,0,0,0,"0","MnPrv","NoApp",0,5,2009,"COD","Abnorml",139000
21,"RL",101,14215,"1","NoApp","IR1","Lvl","4","Corner","1","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"4","3","PConc","5","3","3","1",0,"1",0,1158,1158,"GasA","5","1","SBrkr",1158,1218,0,2376,0,0,3,1,4,1,"4",9,"5",1,"4","BuiltIn",3,"2",3,853,"3","3","3",240,154,0,0,0,0,"0","NoApp","NoApp",0,11,2006,"New","Partial",325300
22,"RM",57,7449,"1","Grvl","Reg","Bnk","4","Inside","1","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","PConc","3","3","1","1",0,"1",0,637,637,"GasA","5","1","FuseF",1108,0,0,1108,0,0,1,0,3,1,"4",6,"5",1,"4","Attchd",1,"1",1,280,"3","3","1",0,0,205,0,0,0,"0","GdPrv","NoApp",0,6,2007,"WD","Normal",139400
23,"RL",75,9742,"1","NoApp","Reg","Lvl","4","Inside","1","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"4","3","PConc","4","3","1","1",0,"1",0,1777,1777,"GasA","5","1","SBrkr",1795,0,0,1795,0,0,2,0,3,1,"4",7,"5",1,"4","Attchd",3,"2",2,534,"3","3","3",171,159,0,0,0,0,"0","NoApp","NoApp",0,9,2008,"WD","Normal",230000
24,"RM",44,4224,"1","NoApp","Reg","Lvl","4","Inside","1","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"3","3","PConc","4","3","1","6",840,"1",0,200,1040,"GasA","3","1","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"3",6,"5",1,"3","Attchd",2,"1",2,572,"3","3","3",100,110,0,0,0,0,"0","NoApp","NoApp",0,6,2007,"WD","Normal",129900
25,"RL",69,8246,"1","NoApp","IR1","Lvl","4","Inside","1","Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,"3","4","CBlock","3","3","2","3",188,"5",668,204,1060,"GasA","5","1","SBrkr",1060,0,0,1060,1,0,1,0,3,1,"4",6,"5",1,"3","Attchd",2,"1",1,270,"3","3","3",406,90,0,0,0,0,"0","MnPrv","NoApp",0,5,2010,"WD","Normal",154000
